OCC_CLS,SQFEET,PROP_ADDR,PROP_CITY,E
Commercial,1977.867,830 NORTH 500 WEST,BOUNTIFUL,
Residential,791.1447,388 WEST CENTER STREET,BOUNTIFUL,
Commercial,1236.159,314 WEST CENTER STREET,BOUNTIFUL,
Residential,2109.736,1070 WEST 600 NORTH,WEST BOUNTIFUL,
Residential,1054.873,1061 WEST 400 NORTH,WEST BOUNTIFUL,
Residential,1483.396,68 NORTH 100 WEST,BOUNTIFUL,
Residential,2109.724,837 NORTH 650 EAST,BOUNTIFUL,
Residential,988.9311,185 EAST 550 NORTH,BOUNTIFUL,
Residential,5010.577,313 NORTH PHEASANT RIDGE COURT,BOUNTIFUL,
Residential,988.9333,168 WEST CENTER STREET,BOUNTIFUL,
Residential,2818.465,1219 EAST 300 NORTH,BOUNTIFUL,
Residential,2769.018,1215 WEST JESSI S MEADOW WAY,WEST BOUNTIFUL,
Residential,988.9268,145 EAST 550 NORTH,BOUNTIFUL,
Residential,2175.666,,,
Residential,2851.423,585 NORTH 400 EAST,BOUNTIFUL,
Residential,395.573,535 NORTH 660 WEST,WEST BOUNTIFUL,
Government,8208.162,,,
Residential,1384.504,840 NORTH 600 EAST,BOUNTIFUL,
Residential,1582.297,830 NORTH 1100 WEST,WEST BOUNTIFUL,
Residential,2637.16,1009 EAST CENTER STREET,BOUNTIFUL,
Residential,2109.734,551 NORTH 1100 EAST,BOUNTIFUL,
Residential,2241.572,315 NORTH 800 EAST,BOUNTIFUL,
Residential,1615.265,599 WEST 800 NORTH,WEST BOUNTIFUL,
Residential,1648.234,49 NORTH 400 EAST,BOUNTIFUL,
Residential,3362.376,795 NORTH SKYLINE DRIVE,BOUNTIFUL,
Residential,1977.869,105 EAST 800 NORTH,BOUNTIFUL,
Residential,1054.857,566 NORTH 840 WEST,WEST BOUNTIFUL,
Residential,6230.263,342 NORTH 700 EAST,BOUNTIFUL,
Residential,2637.156,647 EAST CENTER STREET,BOUNTIFUL,
Residential,3955.741,652 EAST 350 NORTH,BOUNTIFUL,
Residential,3164.592,213 EAST 800 NORTH,BOUNTIFUL,
Residential,1318.581,,,
Residential,1846.017,,,
Residential,3461.251,1052 WEST 600 NORTH,WEST BOUNTIFUL,
Commercial,1780.077,522 WEST 550 NORTH,WEST BOUNTIFUL,
Residential,2109.719,51 NORTH 400 EAST,BOUNTIFUL,
Residential,2801.977,628 NORTH 1100 WEST,WEST BOUNTIFUL,
Residential,3428.321,648 EAST 350 NORTH,BOUNTIFUL,
Commercial,2637.147,830 NORTH 500 WEST,BOUNTIFUL,
Residential,939.486,1419 EAST CENTER STREET,BOUNTIFUL,
Residential,2307.513,415 EAST 550 NORTH,BOUNTIFUL,
Residential,2999.774,656 EAST 350 NORTH,BOUNTIFUL,
Residential,791.1565,160 EAST 100 NORTH,BOUNTIFUL,
Residential,1730.645,1165 EAST NORTHERN HILLS DRIVE,BOUNTIFUL,
Residential,1384.508,840 NORTH MAIN STREET,BOUNTIFUL,
Residential,1714.136,986 WEST 600 NORTH,WEST BOUNTIFUL,
Residential,1318.594,309 NORTH 350 WEST,BOUNTIFUL,
Residential,1186.727,424 WEST CENTER STREET,BOUNTIFUL,
Residential,890.0426,165 EAST 550 NORTH,BOUNTIFUL,
Residential,2109.727,822 NORTH 800 EAST,BOUNTIFUL,
Residential,4746.858,524 EAST 350 NORTH,BOUNTIFUL,
Residential,1269.141,64 NORTH 200 EAST,BOUNTIFUL,
Residential,1878.971,326 NORTH 200 EAST,BOUNTIFUL,
Residential,2472.327,496 NORTH 1250 EAST,BOUNTIFUL,
